type;price;bedroomCount;sqmeter2;district
HOUSE;2880000;6;398.0;Brussels
APARTMENT;420000;2;120.0;Brussels
APARTMENT;448000;2;101.0;Brussels
HOUSE;489000;4;162.0;Brussels
APARTMENT;365000;2;107.0;Brussels
APARTMENT;369000;2;116.0;Brussels
APARTMENT;435000;2;93.0;Brussels
APARTMENT;205000;1;40.0;Brussels
APARTMENT;415000;2;85.0;Brussels
APARTMENT;279000;1;87.0;Brussels
HOUSE;735000;5;302.0;Brussels
HOUSE;649000;4;305.0;Brussels
HOUSE;835000;4;265.0;Brussels
APARTMENT;750000;2;167.0;Brussels
APARTMENT;385000;2;85.0;Brussels
APARTMENT;695000;2;150.0;Brussels
APARTMENT;695000;2;150.0;Brussels
APARTMENT;260000;1;68.0;Brussels
HOUSE;585000;3;158.0;Brussels
APARTMENT;1455000;3;279.0;Brussels
APARTMENT;305000;2;85.0;Brussels
APARTMENT;585000;3;158.0;Brussels
APARTMENT;995000;3;150.0;Brussels
APARTMENT;299000;2;93.0;Brussels
APARTMENT;550000;3;115.0;Brussels
APARTMENT;1380000;4;300.0;Brussels
APARTMENT;185000;1;60.0;Brussels
APARTMENT;289000;2;82.0;Brussels
APARTMENT;298000;2;87.0;Brussels
HOUSE;895000;6;300.0;Brussels
APARTMENT;375000;3;140.0;Brussels
HOUSE;2890000;7;525.0;Brussels
APARTMENT;275000;1;60.0;Brussels
APARTMENT;275000;2;98.0;Brussels
APARTMENT;275000;2;98.0;Brussels
APARTMENT;385000;2;112.0;Brussels
APARTMENT;585000;3;158.0;Brussels
APARTMENT;600000;2;150.0;Brussels
APARTMENT;189000;0;48.0;Brussels
APARTMENT;279000;1;53.0;Brussels
APARTMENT;495000;2;126.0;Brussels
APARTMENT;375000;2;150.0;Brussels
APARTMENT;200000;1;50.0;Brussels
HOUSE;560000;3;120.0;Brussels
HOUSE;795000;4;150.0;Brussels
APARTMENT;185000;0;35.0;Brussels
APARTMENT;290000;1;65.0;Brussels
APARTMENT;345000;2;81.0;Brussels
HOUSE;519000;4;200.0;Brussels
APARTMENT;250000;1;65.0;Brussels
HOUSE;645000;4;170.0;Brussels
APARTMENT;199000;1;65.0;Brussels
APARTMENT;299000;2;75.0;Brussels
APARTMENT;250000;3;130.0;Brussels
APARTMENT;445000;2;112.0;Brussels
APARTMENT;229000;1;46.0;Brussels
HOUSE;725000;5;503.0;Brussels
APARTMENT;224500;2;75.0;Brussels
APARTMENT;395000;3;134.0;Brussels
APARTMENT;595000;2;170.0;Brussels
HOUSE;865000;4;253.0;Brussels
HOUSE;865000;4;253.0;Brussels
APARTMENT;435000;2;94.0;Brussels
APARTMENT;360000;2;85.0;Brussels
HOUSE;870000;5;270.0;Brussels
APARTMENT;370000;2;106.0;Brussels
APARTMENT;525000;2;108.0;Brussels
APARTMENT;249000;1;78.0;Brussels
HOUSE;695000;4;180.0;Brussels
HOUSE;750000;4;222.0;Brussels
HOUSE;549000;4;175.0;Brussels
APARTMENT;419000;2;100.0;Brussels
APARTMENT;199000;1;65.0;Brussels
APARTMENT;225000;1;66.0;Brussels
APARTMENT;1095000;4;307.0;Brussels
APARTMENT;1095000;4;307.0;Brussels
APARTMENT;299000;1;73.0;Brussels
HOUSE;585000;3;155.0;Brussels
APARTMENT;695000;3;150.0;Brussels
HOUSE;649000;6;290.0;Brussels
HOUSE;649000;6;290.0;Brussels
APARTMENT;525000;2;108.0;Brussels
APARTMENT;215000;1;61.0;Brussels
HOUSE;495000;3;117.0;Brussels
